giovedi,giovediora,lunedi,lunediora,luogo,martedi,martediora,mercoledi,mercolediora,nome,sabato,sabatoora,venerdi,venerdiora
,,,,"
          ADI Design Museum —
          Piazza Compasso d'Oro 1,  Milano
        ",,,,,"
            Gli infiniti linguaggi dello stile         ",,,,
,,,,"
          ADI Design Museum —
          Piazza Compasso d'Oro 1,  Milano
        ",,,,,"
            Concerto RockDesign di Oslavia         ",,,,
,,,,"
          Alfonso Muzzi Showroom —
          Via Solferino 37, 20122 Milano (MI),  Milano
        ",,,,,"
            D'SIGN         ",,,,
,,,,"
          ALTA Cucine —
          Foro Buonaparte, 68,  Milano
        ",,,,,"
            New Regenerative Relationships         ",,,,
,,,,"
          Antichità di Nobili A.& C. —
          via Marsala, 4,  Milano
        ",,,,,"
            Nudo         ",,,,
,,,,"
          Arredo3 Store Milano Solferino —
          Piazza S. Marco, 1,  Milano
        ",,,,,"
            Arredo3 Green Evolution         ",,,,
,,,,"
          Artisti di Via Bagutta —
          Corso Garibaldi, 17,  Milano
        ",,,,,"
            Renzo Serafini          ",,,,
,,,,"
          Atelier Artigianale - Sofable by Mantellassi —
          Viale Premuda, 19,  Milano
        ",,,,,"
            Sofable by Mantellassi apre a Milano il nuovo flagship store         ",,,,
,,,,"
          Atlas Concorde Studio Milano —
          Via San Marco, 12,  Milano
        ",,,,,"
            BOOST YOUR PERSPECTIVE: MONOLITI by Piero Lissoni.         ",,,,
,,,,"
          BARANZATE ATELIERS —
          Via Milano 251, Baranzate (MI),  Milano
        ",,,,,"
            BARANZATE ATELIERS: una fabbrica abbandonata diventa il crocevia di scambio tra design, arte, musica e drink         ",,,,
,,,,"
          BASE —
          via Tortona, 54,  Milano
        ",,,,,"
            IKEA Festival         ",,,,
,,,,"
          Bottega Immagine —
          Via Carlo Farini 60,  Milano
        ",,,,,"
            Sketchin Design Island         ",,,,
,,,,"
          Boutique YC Whyci Milano —
          Via Fiori Chiari, 24,  Milano
        ",,,,,"
            YC WHYCI VESTE LA TAVOLA CON MV % CERAMICS         ",,,,
,,,,"
          Casa Brera —
          Via Formentini, 10,  Milano
        ",,,,,"
            The Wall of Wonders         ",,,,
