name,cocktails,address
Sguardo al futuro,"Press Day Cocktail h. 17.00-19.00
 ",c/o C&C Milano Showroom
Peter Zumthor collection exhibition,"Cocktail h. 16.00-21.00
 ",c/o Time&Style
,"6-11 Cocktail h. 18.00-21.00
 ",Via Turati 6
Summer Garden,"6-11 Cocktail h. 18.00-20.00
 ",c/o B&B Distribuzione
Shift to Regenerative Mobility,"6-12 Cocktail h. 18.00-19.30
 ",c/o Spazio Lineapelle
Pensione The Socialite Family,"6-7 Cocktail h. 18.00-23.00
 ",The Socialite Family
Show your Colors by Markus Benesch for Curious Boy,"Open House 5 Vie Cocktail h. 18.00-22.00
 ",Via Cesare Correnti 14
Pensione The Socialite Family,"6-7 Cocktail h. 18.00-23.00
 ,Cocktail h. 18.00-23.00
 ",The Socialite Family
Florim al FuoriSalone 2022,"7-9 Cocktail h. 18.30-20.00
 ",c/o Florim Flagship Store
Abaco Celeste,"Cocktail h. 18.30-21.30
 ",Via Pietro Maroncelli 12
"Il futuro, il presente e il passato nell’haut savoir-faire","Cocktail h. 18.00-23.00
 ",c/o Galleria Ponte Rosso
System evolution beyond time and space,"7-8 Cocktail h. 18.00-22.00
 ",c/o Modulnova Milano Flagship Store
The Nature of Things,"Cocktail h. 19.00-21.00
 ",c/o Euromobil Flagship Store
System evolution beyond time and space,"7-8 Cocktail h. 18.00-22.00
 ,10-11 Cocktail h. 18.00-22.00
 ",c/o Modulnova Milano Flagship Store
Tales from a Neo Collective Future,"7-12 Cocktail h. 19.00-22.00
 ",c/o House of BMW
"Re-connecting with people, objects and Earth","Cocktail h. 18.30-21.30
(DJ Set by Gianluca Vitiello – Radio Deejay)
 ",c/o Zanotta House Milano
,"Cocktail h. 18.30-22.00
c/o Tecno Showroom, Piazza XXV Aprile 11
 ",c/o INTERNI
The Nature of Things,"Cocktail h. 19.00-21.00
 ,Cocktail h. 19.00-21.00
 ",c/o Euromobil Flagship Store
,"Cocktail h. 18.30-22.00 c/o Store
 ",c/o Giorgetti Atelier
Spazio Lounge: Hypernova e Roof Garden: Radical Pop Terrace,"Cocktail h. 19.30-22.00 c/o Roof Garden
 ",c/o Superstudio
SAG’80 - Rae Martini ‘Modulari’,"Cocktail h. 18.00-21.00
 ",c/o Sag’80 Showroom
Domus Carillo a Journey to the Italian textile tradition ,"Cocktail h. 18.00-21.00
 ",Corso Buenos Aires 28
Avant Toi home,"Cocktail h. 18.00-21.00
 ",c/o Avant Toi Showroom
Frag presenta le novità 2022,"Cocktail h. 18.30-21.30
 ",c/o Mo.1950
Green Attitude: Discovering Talenti Outdoor Living,"Cocktail Experience h. 18.00-22.00
c/o Talenti
Via Pontaccio 19
 ",c/o Talenti Flagship Store
Unbreakable Identities,"Live performance & Cocktail h. 18.30-22.00
 ",c/o Gallotti&Radice Flagship Store
Pianeta. Riprogetta lo spazio,"9-11 Cocktail h. 17.30-21.30
c/o We Are Town – Via Durini 27
 ",c/o Atelier Elli&Rini
Lorena Antoniazzi - Galleria Luigi Proietti,"Cocktail h. 17.00-20.00
 ",c/o Lorena Antoniazzi Boutique
,"Talk & Cocktail h. 19.00-21.00
(sul tema Arco, archetipo, architettura con Joseph Di Pasquale, Luigi Prestinenza Puglisi, Franco Bontempi, Sergio Zambelli)
 ",c/o JDP Architects
,"Cocktail by invitation h. 19.30-22.00
 ",c/o Elmar Showroom
Vesoi a Palazzo Caccia Dominioni,"Cocktail h. 19.00-21.00
 ",c/o Palazzo Caccia Dominioni
Codice subacqueo,"Cocktail h. 19.00-21.00
 ",c/o Ponzio Showroom
