name,cocktails,address
"
            Renzo Serafini          ",Giovedì 10:00 - 19:00,"
          Artisti di Via Bagutta —
          Corso Garibaldi, 17,  Milano
        "
"
            BLACK INK         ",Mercoledì 19:00 - 22:00,"
          Segheria —
          Via Palermo, 11,  Milano
        "
"
            Longevity Lab by Miele         ","Mercoledì 10:00 - 19:00,Giovedì 10:00 - 19:00,Venerdì 10:00 - 19:00","
          Miele Experience Center —
          Corso Garibaldi, 99,  Milano
        "
"
            The Wall of Wonders         ",Giovedì 10:30 - 18:00,"
          Casa Brera —
          Via Formentini, 10,  Milano
        "
"
            HERE Design week         ","Giovedì 16:00 - 20:00,Venerdì 17:30 - 19:00","
          HERƎ by AW LAB —
          Corso Garibaldi, 12,  Milano
        "
"
            DCWéditions & MODELEC switches         ",Giovedì 10:30 - 19:30,"
          Raw —
          Via Palermo, 1,  Milano
        "
"
            Nomad Selection         ",Martedì 10:00 - 17:00,"
          Timothy Oulton by Nomad Selection —
          Via Pontaccio, 19,  Milano
        "
"
            FALLING INTO LIFE         ",Martedì 10:00 - 20:00,"
          Delvis —
          Via Minghetti, 8,  Milano
        "
"
            KNT Ethic Design         ",Giovedì 19:00 - 22:00,"
          KNT Apartment —
          Via Fiori Chiari, 32,  Milano
        "
"
            BRA-VERY BAR         ",Venerdì 14:30 - 17:00,"
          Locanda alla Mano —
          Piazza del Cannone,  Milano
        "
"
            New Regenerative Relationships         ",Sabato 19:00 - 23:00,"
          ALTA Cucine —
          Foro Buonaparte, 68,  Milano
        "
"
            SURTECO - Change your pattern         ","Mercoledì 11:00 - 23:00,Giovedì 11:00 - 23:00","
          Robertaebasta - Formentini —
          Via Formentini, 4/6,  Milano
        "
"
            Espressioni di design         ","Martedì 10:00 - 18:30,Mercoledì 10:00 - 18:30,Giovedì 10:00 - 18:30","
          Florim Flagship Store —
          Foro Buonaparte, 14,  Milano
        "
"
            Blank         ",Mercoledì 11:00 - 17:00,"
          Galleria Il Castello —
          Via Brera, 16,  Milano
        "
"
            New Future Treasures         ","Martedì 10:00 - 18:30,Mercoledì 10:00 - 18:30,Giovedì 10:00 - 18:30","
          Spazio CEDIT —
          Foro Buonaparte 14/A,  Milano
        "
"
            IL VALORE DELL'INTANGIBILE         ","Sabato 10:00 - 21:00,Domenica 10:00 - 21:00","
          Cortile Fondazione dell’Ordine degli Architetti —
          Via Solferino, 17,  Milano
        "
"
            Sketchbook - Ispirazioni tessili 2022         ",Giovedì 17:00 - 19:00,"
          Zimmer+Rohde Showroom —
          Via Fatebenefratelli, 13,  Milano
        "
"
            TROVE 2.0         ",Mercoledì 10:00 - 19:00,"
          Galleria d'arte il Vicolo —
          Via Maroncelli, 2,  Milano
        "
"
            YOOX presenta Multi Form* - FLUIDITY IN LIVING SPACE         ",Sabato 11:30 - 12:30,"
          Via Tortona 14 —
          Via Tortona, 14,  Milano
        "
"
            IKEA Festival         ","Martedì 10:00 - 18:00,Mercoledì 10:00 - 18:00,Giovedì 10:00 - 18:00,Venerdì 10:00 - 18:00,Sabato 10:00 - 18:00","
          BASE —
          via Tortona, 54,  Milano
        "
"
            Discover Plusminus, the New Era of Lighting         ",Martedì 09:30 - 20:30,"
          HI LITE Next —
          Via Brera, 30,  Milano
        "
"
            --- SHAPES OF NATURE ---   via Della Spiga 42         ",Giovedì 11:00 - 20:00,"
          Marina C. Milano Boutique —
          Via Della Spiga 42,  Milano
        "
"
            BOOST YOUR PERSPECTIVE: MONOLITI by Piero Lissoni.         ","Martedì 11:00 - 21:00,Mercoledì 11:00 - 21:00","
          Atlas Concorde Studio Milano —
          Via San Marco, 12,  Milano
        "
"
            The Kids Never Grew Up         ",Lunedì 17:00 - 23:30,"
          Pennisi Nft Art Gallery —
          Via della chiusa 2, Milano,  Milano
        "
"
            Customize your style         ","Mercoledì 17:00 - 21:00,Giovedì 17:00 - 21:00,Venerdì 17:00 - 21:00","
          Empresa —
          Corso Venezia 8,  Milano
        "
"
            Back To The Future... Art & NFT         ","Giovedì 12:00 - 13:00,Venerdì 18:00 - 22:00","
          Galleria San Babila —
          Via Uberto Visconti di Modrone 6,  Milano
        "
"
            Enriquez loves Vispring         ",Mercoledì 10:00 - 19:00,"
          Villa Luxury Beds- Vispring showroom —
          Viale Piave, 9,  Milano
        "
"
            Giuseppe Pagano: tra Architettura e Design         ",Mercoledì 08:00 - 23:59,"
          GUD Bocconi —
          Via Guglielmo Röntgen 1,  Milano
        "
"
            pulpo L.OV.E. BANK         ","Lunedì 10:00 - 11:00,Martedì 10:00 - 11:00,Mercoledì 10:00 - 11:00,Giovedì 10:00 - 18:00,Venerdì 10:00 - 18:00,Sabato 10:00 - 18:00","
          pulpo L.O.V.E. BANK —
          Via S. Vittore Al Teatro, 5,  Milano
        "
"
            Idee galleggianti di Gabriel Scott         ",Mercoledì 10:30 - 19:30,"
          Spazio Big SantaMarta —
          Via Santa Marta, 10,  Milano
        "
"
            Sketchin Design Island         ",Martedì 10:00 - 22:00,"
          Bottega Immagine —
          Via Carlo Farini 60,  Milano
        "
"
            Preciosa presenta “Composition in Crystal”         ",Martedì 10:00 - 19:00,"
          Opificio 31 // Quattrocento —
          via Tortona 31,  Milano
        "
